Date,Open,High,Low,Close,Capital,price_change,volume,capital_change
2024-03-14,72639.8203125,75414.7421875,70887.4921875,73879.8203125,60804984832.0,1.7070526257157326,800790.1875,26.1186170757706
2024-03-15,73291.96875,76124.1640625,71510.21875,74561.546875,61963616256.0,1.7322199419140816,815373.3125,1.9054874777793884
2024-03-16,73785.6796875,76668.4765625,72006.5703125,75086.5078125,62330355712.0,1.762981899082661,810655.4375,0.5918625742197037
2024-03-17,74177.3359375,77100.640625,72401.546875,75503.40625,62595923968.0,1.787702739238739,806129.9375,0.4260656889528036
2024-03-18,74480.9921875,77435.703125,72707.7890625,75826.640625,62801444864.0,1.8067004159092903,802609.4375,0.3283295081928372
2024-03-19,74711.078125,77689.5859375,72939.8359375,76071.5546875,62957637632.0,1.820983737707138,799956.0625,0.2487088786438107
2024-03-20,74882.2265625,77878.4296875,73112.40625,76253.71875,63074115584.0,1.8315322697162628,797991.75,0.185010046698153
2024-03-21,75007.71875,78016.890625,73238.9375,76387.2890625,63159713792.0,1.8392378464341164,796557.25,0.1357105211354792
2024-03-22,75098.7421875,78117.3203125,73330.7109375,76484.171875,63221903360.0,1.8448106944561005,795520.0625,0.0984639744274318
2024-03-23,75164.234375,78189.5859375,73396.7421875,76553.8828125,63266705408.0,1.8488161265850067,794775.4375,0.0708647537976503
